rod_1,rod_2,rod_3,rod_4,rod_5,rod_6
-2272,-3687,410,-84,-439,-1810
-2018,-3992,602,174,-26,-1752
-2429,-3492,534,-294,-496,-2157
-2706,-3754,551,-178,-969,-2083
-3003,-3363,716,40,-911,-2154
-3278,-3404,819,-176,-583,-1764
-3772,-3127,1144,-513,-369,-1832
-3748,-3343,803,-793,111,-1551
-3752,-3739,397,-904,-290,-1684
-3744,-3478,167,-578,-746,-1437
-3626,-3429,-206,-82,-302,-1550
-4016,-3364,-406,267,-159,-1417
-3726,-3273,-710,488,-588,-1871
-3419,-3540,-419,284,-1007,-1496
-3681,-3153,-816,173,-1223,-1532
-3446,-2799,-943,-161,-1344,-1669
-3732,-2613,-1170,57,-885,-1470
-3433,-3040,-1047,207,-1210,-1424
-3187,-3290,-1380,180,-1322,-1648
-2740,-3135,-1176,250,-1598,-1447
-2908,-2772,-890,544,-2041,-1713
-2567,-3240,-566,367,-2131,-1939
-3000,-3524,-131,832,-2051,-1542
-2765,-3702,-414,1003,-2040,-1637
-2360,-3438,-445,649,-2269,-1995
-2608,-3176,-371,700,-2500,-1731
-2510,-3238,48,797,-2592,-1861
-2786,-3597,69,802,-2999,-1588
-3238,-3215,-319,458,-2857,-1925
-2927,-3019,-387,568,-3292,-2031
-3037,-2909,-408,609,-3535,-1537
-2971,-2528,57,120,-3339,-1299
-3354,-2330,463,169,-3071,-1526
-3067,-2174,311,-217,-3271,-1581
-3406,-2210,-186,259,-3032,-1185
-3170,-2441,309,271,-2752,-1503
-3151,-2007,-83,662,-2612,-1698
-2790,-1853,-64,785,-2909,-2042
-2908,-1573,-399,837,-2433,-1745
-2464,-1530,41,337,-2320,-1914
-2464,-2011,-345,788,-2449,-1515
-2113,-1685,-531,533,-2890,-1769
-1714,-1605,-62,113,-3303,-1520
-1717,-1270,-492,391,-3258,-1236
-2089,-1639,-317,377,-2789,-1174
-2420,-1868,-277,770,-2668,-1241
-1933,-2152,174,822,-2395,-994
-1727,-2447,404,641,-2487,-807
-1562,-2565,352,1062,-2458,-845
-1939,-2812,82,627,-2612,-1324
-1837,-2745,-183,729,-2887,-1817
-2265,-2521,-37,289,-3153,-2248
-1838,-2989,343,127,-3581,-2222
-2095,-3204,528,124,-3862,-2170
-2460,-2964,985,527,-3512,-2080
-2476,-3216,1288,511,-3186,-2164
-2782,-3620,887,685,-3245,-2302
-2849,-3676,865,1069,-2999,-2747
-2660,-3427,1026,669,-3437,-2835
-2415,-3580,1345,1051,-3826,-3081
-2719,-3886,1394,1010,-3953,-3149
-3032,-3811,1367,765,-4019,-3196
-2705,-3533,967,316,-3543,-2840
-3190,-3041,562,764,-3272,-2471
-3448,-3371,478,761,-3280,-2753
-3063,-3461,902,321,-3612,-2865
-3561,-3562,673,769,-3294,-2562
-3596,-3770,606,982,-2814,-2314
-3294,-3527,783,1217,-2816,-2656
-3600,-3724,505,1708,-3257,-2563
-3343,-3541,67,1973,-3436,-3005
-3792,-3443,55,1987,-2995,-2632
-3553,-3782,-387,2470,-2975,-3050
-3182,-3906,-817,2579,-3406,-2859
-2800,-3856,-904,2201,-2942,-2448
-2717,-3844,-812,2309,-3402,-2314
-3134,-3667,-639,2406,-3324,-2279
-3311,-3829,-930,2591,-3091,-2458
-3567,-3825,-1025,2225,-2904,-2298
-3760,-3628,-1202,2676,-2635,-1840
-4022,-4087,-1233,2812,-2559,-2238
-4021,-3821,-1515,2830,-2788,-2603
-3739,-4026,-1115,2580,-2910,-2812
-3935,-3648,-762,2636,-2690,-3003
-3470,-3270,-593,2677,-3182,-2820
-3134,-3203,-787,3131,-3003,-3214
-2673,-2804,-1150,2901,-3385,-2803
-3064,-2544,-1084,2560,-3607,-3015
-2945,-2829,-850,2411,-3888,-2812
-2796,-2456,-1080,2428,-3596,-3055
-2369,-2027,-714,1980,-4002,-2906
-2436,-1678,-931,1525,-4093,-3065
-2147,-2045,-779,1293,-4014,-2806
-2195,-1981,-557,1230,-3522,-3297
-2581,-2404,-90,1634,-3315,-2872
-2929,-2346,-554,1988,-3437,-2776
-2864,-2695,-614,1618,-3895,-2961
-2991,-2275,-159,1933,-4056,-2541
-3125,-2560,39,1688,-3991,-2679
-2827,-2487,444,2083,-3680,-2182
